"H (A_per_meter)" 	"B (tesla)"
0 	0
10 	0.01
19.600000000000001 	0.050000000000000003
26.600000000000001 	0.10000000000000001
30.899999999999999 	0.14999999999999999
33.899999999999999 	0.20000000000000001
36.399999999999999 	0.25
38.799999999999997 	0.29999999999999999
41.399999999999999 	0.35010000000000002
44 	0.40010000000000001
46.600000000000001 	0.45000000000000001
49.299999999999997 	0.50009999999999999
52 	0.55010000000000003
54.899999999999999 	0.60009999999999997
57.899999999999999 	0.65010000000000001
61.200000000000003 	0.70009999999999994
65 	0.75009999999999999
69.099999999999994 	0.80010000000000003
73.900000000000006 	0.85009999999999997
79.200000000000003 	0.90010000000000001
85.200000000000003 	0.95009999999999994
92.299999999999997 	1.0001
101 	1.0501
112 	1.1001000000000001
127 	1.1501999999999999
146 	1.2001999999999999
172 	1.2502
209 	1.3003
263 	1.3503000000000001
357 	1.4004000000000001
554 	1.4507000000000001
1060 	1.5013000000000001
1900 	1.5524
2910 	1.6036999999999999
4080 	1.6551
5000 	1.6854
5670 	1.7071000000000001
7900 	1.7599
10000 	1.7944
11200 	1.8141
16000 	1.8701000000000001
24100 	1.9302999999999999
42300 	2.0032000000000001
80000 	2.0804999999999998
